schemeCode,schemeName,NAV,scheme_type,scheme_category
Scheme Code,Scheme Name,Net Asset Value,,
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,110.4173,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,116.6257,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.488,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,154.7814,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.148,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.2357,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.2733,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.3986,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,376.8419,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,565.6909,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,391.9172,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Aditya Birla Sun Life Mutual Fund
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1038.0619,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2805.7212,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1035.8438,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1040.0862,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1038.0526,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2716.2674,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1035.5601,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1039.8835,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Axis Mutual Fund
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,11.0137,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bajaj Finserv Mutual Fund
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.8611,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bajaj Finserv Mutual Fund
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.7161,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bajaj Finserv Mutual Fund
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.7161,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bajaj Finserv Mutual Fund
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.8611,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bajaj Finserv Mutual Fund
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9368,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bajaj Finserv Mutual Fund
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.7188,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4639,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.4837,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121279,Bandhan Banking and PSU Fund - Direct Growth,26.1099,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121281,Bandhan Banking and PSU Fund - Direct IDCW,13.7344,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.4541,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,10.9657,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.6671,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8653,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.6372,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121280,Bandhan Banking and PSU Fund - Regular Growth,25.3241,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121282,Bandhan Banking and PSU Fund - Regular IDCW,13.6749,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.6955,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,10.8616,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Bandhan Mutual Fund
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.5172,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Canara Robeco Mutual Fund
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.7573,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Canara Robeco Mutual Fund
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,12.3866,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Canara Robeco Mutual Fund
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.6568,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Canara Robeco Mutual Fund
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.5683,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.7826,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1649,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.3966,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.4251,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1605,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,24.6532,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.756,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1647,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.3819,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.4146,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1604,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),DSP Mutual Fund
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.2698,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Edelweiss Mutual Fund
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.7941,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Edelweiss Mutual Fund
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.5016,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Edelweiss Mutual Fund
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9261,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Edelweiss Mutual Fund
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5465,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Edelweiss Mutual Fund
