schemeCode,schemeName,isinGrowth,isinDivReinvestment
102987,icici prudential plan i - year plus plan-growth-direct,,
103490,quantum value fund - direct plan growth option,INF082J01036,
111549,quantum elss tax saver fund - direct plan growth option,INF082J01069,
116811,idbi dynamic bond fund growth direct,,
118266,canara robeco nifty index-direct plan - growth,,
118267,canara robeco infrastructure fund - direct plan - growth option,INF760K01FO9,
118269,canara robeco large cap fund - direct plan - growth option,INF760K01FR2,
118272,canara robeco equity hybrid fund - direct plan - growth option,INF760K01EZ8,
118273,canara robeco consumer trends fund - direct plan - growth option,INF760K01DU1,
118275,canara robeco flexicap fund - direct plan - growth option,INF760K01EF0,
118278,canara robeco large and mid cap fund - direct plan - growth option,INF760K01EI4,
118282,canara robeco income fund - direct plan - growth option,INF760K01FI1,
118284,canara robeco dynamic bond fund - direct plan - growth option,INF760K01EC7,
118285,canara robeco elss tax saver - direct plan - growth option,INF760K01EL8,
118291,canara robeco savings fund - direct plan - growth option,INF760K01ET1,
118297,canara robeco gilt advantage fund - direct plan - growth option,,
118299,canara robeco gilt fund - direct plan - growth option,INF760K01FC4,
118302,canara robeco indigo fund - direct plan - growth,,
118309,canara robeco conservative hybrid fund - direct plan - growth option,INF760K01GB4,
118312,canara robeco short term fund- direct plan - growth,,
118320,canara robeco short duration fund - direct plan - growth option,INF760K01DX5,
118341,idbi gilt fund growth direct,,
118344,idbi india top 100 equity fund growth direct,,
118349,idbi short term bond fund growth direct,,
118350,idbi ust growth direct,,
118374,reliance fixed horizon fund - xxii - direct plan - growth option,,
118379,idfc money manager fund - investment plan-direct plan-growth,,
118387,bandhan gilt fund with 10 year constant duration fund - direct plan - growth,INF194K01P38,
118394,bandhan medium to long duration fund - direct plan - growth,INF194K01R51,
118401,bandhan medium duration fund - direct plan - growth,INF194K01S50,
118407,bandhan short duration fund - direct plan - growth,INF194K01U07,
118416,bandhan dynamic bond fund-direct plan-growth,INF194K01N63,
118419,bandhan large & mid cap fund - direct plan - growth,INF194K01V89,
118421,bandhan focused fund - direct plan - growth,INF194K01W21,
118424,bandhan flexi cap fund-direct plan-growth,INF194K01W62,
118426,idfc  50-50 strategic sector fund-direct plan-growth,,
118427,indiabulls gilt fund - direct plan -  growth option,,
118452,idbi equity savings fund growth option direct,,
118464,bandhan gilt fund - direct plan - growth,INF194K01Q29,
118469,bandhan infrastructure fund-direct plan-growth,INF194K01X46,
118471,idfc  india gdp growth fund-direct plan-growth,,
118473,bandhan elss tax saver fund - direct plan - growth,INF194K01Y29,
118474,bandhan arbitrage fund-direct plan- growth,INF194K01Y60,
118477,bandhan equity savings fund-direct plan-growth,INF194K01Z02,
118479,bandhan large cap fund-direct plan-growth,INF194K01Z44,
118481,bandhan value fund - direct plan - growth,INF194K01Z85,
118491,bandhan conservative hybrid fund-direct plan-growth,INF194K015B9,
118494,templeton india value fund - direct - growth,INF090I01GY2,
118495,franklin india dynamic accrual fund - direct - growth,,
118498,franklin india government securities fund - direct - growth,INF090I01HS2,
118499,franklin india government securities fund treasury plan - direct - growth,,
118502,franklin india government securities fund - composite plan - direct - growth,,
118504,franklin india government securities fund pf plan - direct - growth,,
118508,franklin india floating rate fund - direct - growth,INF090I01LK1,
118510,franklin india large & mid cap fund - direct - growth,INF090I01IN1,
118521,templeton india children's asset plan education - direct - growth,,
118523,templeton india children's asset plan gift - direct - growth,,
118525,franklin india small cap fund - direct - growth,INF090I01IQ4,
118531,franklin india large cap fund- direct - growth,INF090I01FN7,
118533,franklin india mid cap fund - direct - growth,INF090I01FH9,
118535,franklin india flexi cap fund - direct - growth,INF090I01FK3,
118537,franklin india technology fund - direct - growth,INF090I01FE6,
118539,franklin india opportunities fund - direct - growth,INF090I01GC8,
118540,franklin india elss tax saver fund - direct - growth,INF090I01JS8,
118546,franklin india aggressive hybrid fund - direct - growth,INF090I01FZ1,
118548,franklin india retirement fund - direct - growth,INF090I01JZ3,
118553,franklin india credit risk fund - direct - growth,,
118554,franklin india income opportunities fund - direct - growth,,
118557,franklin build india fund - direct - growth,INF090I01JF5,
118559,franklin asian equity fund - direct - growth,INF090I01IZ5,
118564,franklin india focused equity fund - direct - growth,INF090I01IW2,
118565,franklin india short term income plan - direct - growth,INF090I01GK1,
118569,franklin india corporate debt fund - direct - growth,INF090I01FW8,
118574,franklin india conservative hybrid fund - direct - growth,INF090I01GF1,
118585,nippon india arbitrage fund - direct plan growth plan - growth option,INF204K01XZ7,
118589,nippon india banking & financial services fund - direct plan growth plan - growth option,INF204K01XO1,
118615,edelweiss balanced advantage fund -direct plan-growth option,INF754K01BS2,
118617,edelweiss large cap fund - direct plan-growth option,INF754K01BW4,
118620,edelweiss elss tax saver fund - direct plan-growth option,INF754K01CA8,
118624,edelweiss aggressive hybrid fund-direct plan-growth option,INF754K01CE0,
118631,edelweiss gilt fund -direct plan-growth option,,
118632,nippon india large cap fund - direct plan growth plan - growth option,INF204K01XI3,
118638,edelweiss equity savings advantage fund- direct plan- growth option,,
118643,reliance focused large cap fund - direct plan growth plan - growth option,,
118644,edelweiss emerging leaders fund - direct plan- growth,,
118646,edelweiss short term income fund - direct plan- growth option,,
118648,edelweiss bond fund  -direct plan- growth option,,
118650,nippon india multi cap fund - direct plan growth plan - growth option,INF204K01XF9,
118656,nippon india floater fund  - direct plan growth plan - growth option,INF204K01E05,
118668,nippon india growth mid cap fund - direct plan growth plan - growth option,INF204K01E54,
118672,nippon india gilt  fund - direct plan growth plan - growth option,INF204K01XP8,
118678,nippon india vision large & mid cap fund - direct plan growth plan - growth option,INF204K01F20,
118687,nippon india medium to long duration fund - direct plan growth plan - growth option,INF204K01XS2,
118692,nippon india focused fund - direct plan growth plan - growth option,INF204K01F95,
