date,nav,scheme_code
05-02-2026,10.61070,153102
04-02-2026,10.57080,153102
03-02-2026,10.57140,153102
02-02-2026,10.54890,153102
30-01-2026,10.60960,153102
29-01-2026,10.60820,153102
28-01-2026,10.59530,153102
27-01-2026,10.56730,153102
23-01-2026,10.58300,153102
22-01-2026,10.57860,153102
21-01-2026,10.56550,153102
20-01-2026,10.55110,153102
19-01-2026,10.54280,153102
16-01-2026,10.54220,153102
14-01-2026,10.53560,153102
13-01-2026,10.54630,153102
12-01-2026,10.52290,153102
09-01-2026,10.51610,153102
08-01-2026,10.52570,153102
07-01-2026,10.54370,153102
06-01-2026,10.54260,153102
05-01-2026,10.57770,153102
02-01-2026,10.60820,153102
01-01-2026,10.59720,153102
31-12-2025,10.59050,153102
30-12-2025,10.58220,153102
29-12-2025,10.58930,153102
26-12-2025,10.57480,153102
24-12-2025,10.57540,153102
23-12-2025,10.53710,153102
22-12-2025,10.53740,153102
19-12-2025,10.57330,153102
18-12-2025,10.55330,153102
17-12-2025,10.55330,153102
16-12-2025,10.55780,153102
15-12-2025,10.55750,153102
12-12-2025,10.52770,153102
11-12-2025,10.50930,153102
10-12-2025,10.49250,153102
09-12-2025,10.50110,153102
08-12-2025,10.55140,153102
05-12-2025,10.55150,153102
04-12-2025,10.51670,153102
03-12-2025,10.51090,153102
02-12-2025,10.51460,153102
01-12-2025,10.53170,153102
28-11-2025,10.52940,153102
27-11-2025,10.56420,153102
26-11-2025,10.56430,153102
25-11-2025,10.57320,153102
24-11-2025,10.56280,153102
21-11-2025,10.54380,153102
20-11-2025,10.55590,153102
19-11-2025,10.54520,153102
18-11-2025,10.53180,153102
17-11-2025,10.52770,153102
14-11-2025,10.52710,153102
13-11-2025,10.53640,153102
12-11-2025,10.54220,153102
11-11-2025,10.53650,153102
10-11-2025,10.53710,153102
07-11-2025,10.52910,153102
06-11-2025,10.53680,153102
04-11-2025,10.53160,153102
03-11-2025,10.52980,153102
31-10-2025,10.53570,153102
30-10-2025,10.52790,153102
29-10-2025,10.56510,153102
28-10-2025,10.55590,153102
27-10-2025,10.56240,153102
24-10-2025,10.57000,153102
23-10-2025,10.58350,153102
20-10-2025,10.58580,153102
17-10-2025,10.60200,153102
16-10-2025,10.62190,153102
15-10-2025,10.62920,153102
14-10-2025,10.61010,153102
13-10-2025,10.61210,153102
10-10-2025,10.58940,153102
09-10-2025,10.56640,153102
08-10-2025,10.57080,153102
